,Stock,Fast_MA,Slow_MA,Return
600,AMICA,100,156,"-206,342115"
69,AMICA,10,156,"-206,541335"
669,AMICA,120,131,"-206,581179"
679,AMICA,120,181,"-206,88997"
96,AMICA,15,101,"-207,178839"
652,AMICA,115,131,"-208,423964"
436,AMICA,65,176,"-208,533535"
602,AMICA,100,166,"-208,832365"
347,AMICA,50,166,"-209,390181"
318,AMICA,45,176,"-209,539596"
787,AMICA,165,181,"-210,525735"
181,AMICA,25,161,"-210,924175"
693,AMICA,125,171,"-212,248988"
724,AMICA,135,181,"-215,1576"
437,AMICA,65,181,"-215,1576"
152,AMICA,20,196,"-216,641789"
64,AMICA,10,131,"-217,169722"
497,AMICA,80,91,"-217,976563"
793,AMICA,170,176,"-218,723638"
664,AMICA,115,191,"-219,04239"
185,AMICA,25,181,"-219,659972"
506,AMICA,80,136,"-221,652172"
635,AMICA,110,136,"-222,180105"
626,AMICA,105,186,"-222,200027"
703,AMICA,130,146,"-222,209988"
685,AMICA,125,131,"-224,530901"
532,AMICA,85,146,"-225,287937"
412,AMICA,60,196,"-225,706299"
557,AMICA,90,156,"-229,063156"
183,AMICA,25,171,"-230,487579"
460,AMICA,70,161,"-231,254576"
799,AMICA,175,176,"-232,698921"
747,AMICA,145,171,"-233,894241"
534,AMICA,85,156,"-234,521784"
430,AMICA,65,146,"-235,358508"
778,AMICA,160,176,"-236,593672"
98,AMICA,15,111,"-238,127666"
786,AMICA,165,176,"-241,215576"
817,AMICA,195,196,"-244,353291"
463,AMICA,70,176,"-244,602316"
397,AMICA,60,121,"-245,747831"
619,AMICA,105,151,"-246,654282"
231,AMICA,35,66,"-246,704087"
596,AMICA,100,136,"-247,610538"
118,AMICA,20,26,"-248,507028"
202,AMICA,30,91,"-249,433401"
733,AMICA,140,161,"-249,831841"
479,AMICA,75,126,"-251,047083"
553,AMICA,90,136,"-251,475406"
418,AMICA,65,86,"-255,310391"
459,AMICA,70,156,"-255,569377"
686,AMICA,125,136,"-256,505711"
201,AMICA,30,86,"-257,442045"
599,AMICA,100,151,"-257,611382"
755,AMICA,150,156,"-261,227225"
529,AMICA,85,131,"-261,496172"
597,AMICA,100,141,"-263,697553"
401,AMICA,60,141,"-264,285252"
232,AMICA,35,71,"-265,301274"
403,AMICA,60,151,"-266,277452"
748,AMICA,145,176,"-267,921017"
456,AMICA,70,141,"-268,877273"
618,AMICA,105,146,"-269,156181"
395,AMICA,60,111,"-271,417328"
533,AMICA,85,151,"-272,224169"
84,AMICA,15,41,"-273,957383"
66,AMICA,10,141,"-274,714419"
480,AMICA,75,131,"-274,843912"
429,AMICA,65,141,"-275,710519"
374,AMICA,55,151,"-276,138842"
402,AMICA,60,146,"-278,350184"
452,AMICA,70,121,"-279,236713"
200,AMICA,30,81,"-280,451955"
680,AMICA,120,186,"-280,810551"
622,AMICA,105,166,"-285,402572"
601,AMICA,100,161,"-285,651597"
65,AMICA,10,136,"-288,779351"
455,AMICA,70,136,"-290,074281"
668,AMICA,120,126,"-291,787573"
735,AMICA,140,171,"-292,514726"
448,AMICA,70,101,"-298,252262"
634,AMICA,110,131,"-299,865944"
5,AMICA,5,31,"-301,32025"
346,AMICA,50,161,"-305,792739"
527,AMICA,85,121,"-307,535914"
814,AMICA,190,191,"-314,687912"
375,AMICA,55,156,"-316,809605"
155,AMICA,25,31,"-316,988903"
316,AMICA,45,166,"-318,204145"
165,AMICA,25,81,"-321,272133"
46,AMICA,10,41,"-322,049091"
450,AMICA,70,111,"-324,619029"
477,AMICA,75,116,"-326,043452"
4,AMICA,5,26,"-332,946425"
428,AMICA,65,136,"-336,771449"
589,AMICA,100,101,"-337,020474"
471,AMICA,75,86,"-337,737666"
676,AMICA,120,166,"-339,490802"
694,AMICA,125,176,"-343,764071"
695,AMICA,125,181,"-345,278143"
526,AMICA,85,116,"-345,417597"
598,AMICA,100,146,"-352,111389"
453,AMICA,70,126,"-352,728971"
197,AMICA,30,66,"-361,126094"
734,AMICA,140,166,"-367,401524"
472,AMICA,75,91,"-384,335224"
671,AMICA,120,141,"-392,881762"
427,AMICA,65,131,"-392,931567"
40,AMICA,10,11,"-398,858362"
45,AMICA,10,36,"-400,193136"
616,AMICA,105,136,"-409,79554"
655,AMICA,115,146,"-425,543881"
120,AMICA,20,36,"-470,976002"
630,AMICA,110,111,"-481,863375"
41,AMICA,10,16,"-495,181232"
617,AMICA,105,141,"-522,35484"
701,AMICA,130,136,"-527,773624"
119,AMICA,20,31,"-576,094435"
1,AMICA,5,11,"-595,787332"
19,AMICA,5,101,"-638,769047"
90,AMICA,15,71,"-656,688886"
3,AMICA,5,21,"-685,954304"
28,AMICA,5,146,"-715,438864"
23,AMICA,5,121,"-722,142617"
13,AMICA,5,71,"-724,802204"
124,AMICA,20,56,"-734,773165"
